entity_type,id,stable_key,section_id,ordinal,source_value,target_value,format,status
build_surface,urn:uuid:2de78218-a8fc-5393-802c-66732baacdda,build-surface/unit-009-pdf,,,pwsh -NoProfile -File scripts/build_unit_009.ps1 -OutputDirectory build/unit-009-replay-id,artifacts/unit-009-bab-2-kategori-dan-morfisme.pdf,pdf,pass
citation,urn:uuid:1ab2efdf-db3b-5522-a138-89e03243af26,citation/unit-009/may99/line-122,urn:uuid:675684a4-ef29-53d6-b3c8-2fa3d7970b29,,May99,May99,biblatex-key,preserved
citation,urn:uuid:e5df82a4-457e-5ec6-b2c9-1c32a5c497f1,citation/unit-009/xiong/line-120,urn:uuid:675684a4-ef29-53d6-b3c8-2fa3d7970b29,,Xiong,Xiong,biblatex-key,preserved
citation,urn:uuid:0e796acb-52ec-5679-961e-7e1318ad0676,citation/unit-009/you/line-153,urn:uuid:675684a4-ef29-53d6-b3c8-2fa3d7970b29,,You,You,biblatex-key,preserved
diagram,urn:uuid:806f9161-df98-508e-bb78-7c388d8a325a,diagram/unit-009/category-source-target,urn:uuid:675684a4-ef29-53d6-b3c8-2fa3d7970b29,1,46-46,46-46,tikzcd,audited_preserved
diagram,urn:uuid:17abe10f-fdec-50bf-b730-82ac00676700,diagram/unit-009/commutative-square,urn:uuid:675684a4-ef29-53d6-b3c8-2fa3d7970b29,3,70-73,70-73,tikzcd,audited_preserved
diagram,urn:uuid:4df926ea-7237-5eb8-bf98-060d1f79a061,diagram/unit-009/commutative-triangle,urn:uuid:675684a4-ef29-53d6-b3c8-2fa3d7970b29,2,67-70,67-70,tikzcd,audited_preserved
diagram,urn:uuid:d87f789b-7307-5c11-a83b-ad9ea94efdc7,diagram/unit-009/fundamental-groupoid-homotopy,urn:uuid:675684a4-ef29-53d6-b3c8-2fa3d7970b29,5,160-178,160-178,tikzpicture,audited_preserved
diagram,urn:uuid:953ae081-36ea-5a86-a60b-03821ed15dde,diagram/unit-009/subcategory-source-target,urn:uuid:675684a4-ef29-53d6-b3c8-2fa3d7970b29,4,86-86,86-86,tikzcd,audited_preserved
index_entry,urn:uuid:4d45149e-34ed-542f-ba08-452e8b635059,index-entry/unit-009/abelian-group-category-symbol,urn:uuid:675684a4-ef29-53d6-b3c8-2fa3d7970b29,21,Ab@$\cate{Ab}$,Ab@$\cate{Ab}$,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:4aab9ae5-e6cd-5aa0-9125-adb42164c3f5,index-entry/unit-009/automorphism-symbol,urn:uuid:675684a4-ef29-53d6-b3c8-2fa3d7970b29,13,Aut@$\Aut$,Aut@$\Aut$,latex-index-key,source_key_preserved_target_key_localized
