id,stable_key,unit_id,check_type,result,scope,witness,translation_audit_state,build_state,visual_state
urn:uuid:df9a930e-b10b-506a-8357-13792936ef5b,qa/unit-034/admission-gate,urn:uuid:f2e99f76-1414-5767-acd3-fd9d94c67812,admission_gate,pass,"Complete Section 4.10 admission: authority lines 1609-1744 with blank boundary excluded from the 135-record target mapping at 1604-1738; 25 environment pairs, 11 labels, 16 references, 6 citation occurrences / 2 bibliography keys, 6 localized indexes, 1 tikzcd diagram / 12 arrows, 276 protected mathematical zones, 37 admitted terminology rows, 1 declared source correction, 9 protected-text localizations, 3 citation-locator localizations, 1 declared target-only digital reflow, and no exercises, hints, answers, or solutions. CC BY 4.0 content, the AJbook fragment, Noto OFL 1.1 fonts, and Fandol GPLv3-with-font-exception rights remain separate; no endorsement is implied. Production provenance is OpenAI Codex gpt-5.6-sol, Ultra, acting on the user's instruction.",qa/UNIT_034_VISUAL_QA_20260827.md,pass,pass,pass
urn:uuid:284eabfd-1a56-5d5d-bfed-278d3f3644ff,qa/unit-034/all-page-visual-review,urn:uuid:f2e99f76-1414-5767-acd3-fd9d94c67812,backend_integrity,pass,Independent full-resolution review of all 9 pages in Poppler and MuPDF with no actionable defect.,qa/UNIT_034_VISUAL_QA_20260827.md,pass,pass,pass
urn:uuid:0ad78bf7-6dc5-5a06-b11d-56ed34dafc09,qa/unit-034/build-log,urn:uuid:f2e99f76-1414-5767-acd3-fd9d94c67812,backend_integrity,pass,"Final 9-page XeLaTeX/Biber/index build log without fatal, unresolved, citation, missing-character, empty-target, or overfull diagnostics.",qa/UNIT_034_BUILD_FINAL.log,pass,pass,pass
urn:uuid:496bb48b-b282-5683-b79e-5f51911f4c61,qa/unit-034/candidate-artifact,urn:uuid:f2e99f76-1414-5767-acd3-fd9d94c67812,backend_integrity,pass,Exact isolated Indonesian candidate binding.,build/unit-034-candidate/chapter4-group-limits-completions-id.tex,pass,pass,pass
urn:uuid:7317292c-c6db-52d8-a3dd-f46e3c1692a2,qa/unit-034/candidate-check,urn:uuid:f2e99f76-1414-5767-acd3-fd9d94c67812,backend_integrity,pass,Fail-closed candidate topology and semantic check.,scripts/check_unit_034_candidate.py,pass,pass,pass
urn:uuid:00271644-8d2c-5cf8-8018-9cd6b8155e53,qa/unit-034/canonical-integration,urn:uuid:f2e99f76-1414-5767-acd3-fd9d94c67812,backend_integrity,pass,"Fail-closed target splice, glossary, and source-order check.",scripts/check_unit_034_structure.py,pass,pass,pass
urn:uuid:aa25ea25-91a1-5659-a9af-111fe24e4292,qa/unit-034/citation-locator-localizations,urn:uuid:f2e99f76-1414-5767-acd3-fd9d94c67812,backend_integrity,pass,Three localized citation locators preserve bibliography keys and occurrence order.,qa/UNIT_034_TRANSLATION_REVIEW_20260825.md,pass,pass,pass
urn:uuid:2271ca82-4197-50aa-91e0-29c9a9e86956,qa/unit-034/digital-reflow,urn:uuid:f2e99f76-1414-5767-acd3-fd9d94c67812,backend_integrity,pass,One declared target-only three-line neighborhood-basis display reflow with protected mathematical identity preserved.,qa/UNIT_034_PREPROMOTION_AUDIT_20260827.md,pass,pass,pass
urn:uuid:bb34b193-5ce7-505e-bd13-b332f60a42ec,qa/unit-034/driver-external-reference-isolation,urn:uuid:f2e99f76-1414-5767-acd3-fd9d94c67812,backend_integrity,pass,Reader-driver external-reference wrapper keeps ten cross-unit references non-clickable while retaining internal navigation and the exact hash-gated canonical target span.,repo/source/unit-034-bab-4-limit-dan-kompletisasi-grup.tex,pass,pass,pass
urn:uuid:5e74897a-1fb8-5466-abdc-88c68d35d88d,qa/unit-034/evidence-tool,urn:uuid:f2e99f76-1414-5767-acd3-fd9d94c67812,backend_integrity,pass,Frozen structure/PDF and render-evidence generator implementation.,scripts/generate_unit_034_evidence.py,pass,pass,pass
urn:uuid:3092fd16-8c07-5032-bb56-c99b2d878b51,qa/unit-034/index-localizations,urn:uuid:f2e99f76-1414-5767-acd3-fd9d94c67812,backend_integrity,pass,Six index entries preserve stream/order and localize their target keys.,qa/UNIT_034_TRANSLATION_REVIEW_20260825.md,pass,pass,pass
urn:uuid:79135e6a-dc1b-5b9f-b2bf-0195373c1e28,qa/unit-034/preflight-tool,urn:uuid:f2e99f76-1414-5767-acd3-fd9d94c67812,backend_integrity,pass,Frozen all-page dual-renderer/PDF preflight implementation.,scripts/preflight_unit_034.py,pass,pass,pass
urn:uuid:78a58a5e-1b05-51a9-8fea-cb54b113e9a1,qa/unit-034/prepromotion-evidence,urn:uuid:f2e99f76-1414-5767-acd3-fd9d94c67812,backend_integrity,pass,"Exact splice, corrections, localizations, reflow, and source-order evidence.",qa/UNIT_034_PREPROMOTION_AUDIT_20260827.md,pass,pass,pass
urn:uuid:452637e8-9cb4-5d2e-9798-a897129e58f2,qa/unit-034/protected-text-localizations,urn:uuid:f2e99f76-1414-5767-acd3-fd9d94c67812,backend_integrity,pass,Nine protected mathematical-text localizations.,qa/UNIT_034_TRANSLATION_REVIEW_20260825.md,pass,pass,pass
urn:uuid:0468fd20-c263-51d4-bc99-3d5a1fdf3067,qa/unit-034/render-hash-inventory,urn:uuid:f2e99f76-1414-5767-acd3-fd9d94c67812,backend_integrity,pass,All 54 renders pass the edge gate and defined same-renderer deterministic comparisons.,qa/unit-034-evidence/render-hash-inventory.json,pass,pass,pass
