entity_type,id,stable_key,section_id,ordinal,source_value,target_value,format,status
build_surface,urn:uuid:653cdca0-47c0-566a-8632-b683b40299fe,build-surface/unit-045-complete-li-pdf,,,pwsh -NoProfile -File scripts/build_li_complete.ps1,artifacts/metode-aljabar-jilid-1-id-lengkap.pdf,pdf,pass
citation,urn:uuid:e7611273-e3ed-554a-9f07-5637b8251d5b,citation/unit-045/01-xi18,urn:uuid:603f7cfc-2034-5e51-a7cd-cae2d3bec833,,Xi18,Xi18,biblatex-key,preserved
citation,urn:uuid:f72ae47f-0ebf-5af9-b960-5c29ddaa8a51,citation/unit-045/02-zh1,urn:uuid:c093d346-aa88-5540-a83a-069566b1cb2d,,Zh1,Zh1,biblatex-key,preserved
citation,urn:uuid:9b6d7c54-23ff-5585-865e-46028588e974,citation/unit-045/03-xi16,urn:uuid:3dbedd7c-ef4b-598e-8404-4208b5689bae,,Xi16,Xi16,biblatex-key,preserved
citation,urn:uuid:fe937086-a136-5d0c-9218-3a229a3f3c18,citation/unit-045/04-lam01,urn:uuid:3dbedd7c-ef4b-598e-8404-4208b5689bae,,Lam01,Lam01,biblatex-key,preserved
citation,urn:uuid:5cf6df32-b69b-5941-ab48-f8d2811c467b,citation/unit-045/05-chch,urn:uuid:27ff280b-dc46-5896-a266-411ebdf92d06,,ChCh,ChCh,biblatex-key,preserved
citation,urn:uuid:8fd688ca-8918-5b2e-a40e-5c067b945ec8,citation/unit-045/06-bou-alg1,urn:uuid:8c96c4d6-b629-599c-8fa4-c164a9c65546,,Bou-Alg1,Bou-Alg1,biblatex-key,preserved
citation,urn:uuid:086e7712-54f6-5c76-9d15-94be68dbf88e,citation/unit-045/07-baez02,urn:uuid:8c96c4d6-b629-599c-8fa4-c164a9c65546,,Baez02,Baez02,biblatex-key,preserved
diagram,urn:uuid:64746142-930e-5664-b4bd-d7c2de3085af,diagram/unit-045/tikzcd-01,urn:uuid:c093d346-aa88-5540-a83a-069566b1cb2d,1,52-55,52-55,tikzcd,audited_preserved
diagram,urn:uuid:4272bacb-edcf-5d8b-8009-058ad6436bad,diagram/unit-045/tikzcd-02,urn:uuid:c093d346-aa88-5540-a83a-069566b1cb2d,2,99-102,99-102,tikzcd,audited_preserved
diagram,urn:uuid:98c4afa4-1a99-5d39-a14c-ef944c270028,diagram/unit-045/tikzcd-03,urn:uuid:c093d346-aa88-5540-a83a-069566b1cb2d,3,105-108,105-108,tikzcd,audited_preserved
diagram,urn:uuid:66660dc6-bf20-5496-b806-e41ac1cce1a7,diagram/unit-045/tikzcd-04,urn:uuid:c093d346-aa88-5540-a83a-069566b1cb2d,4,112-115,112-115,tikzcd,audited_preserved
diagram,urn:uuid:2eb3ea58-4fa2-5562-98a4-69152f6db9f1,diagram/unit-045/tikzcd-05,urn:uuid:c093d346-aa88-5540-a83a-069566b1cb2d,5,115-118,115-118,tikzcd,audited_preserved
diagram,urn:uuid:f79715eb-0515-5b69-8f41-59a870c7ca88,diagram/unit-045/tikzcd-06,urn:uuid:3dbedd7c-ef4b-598e-8404-4208b5689bae,6,260-264,260-264,tikzcd,audited_preserved
diagram,urn:uuid:08f2c65c-eca6-50b3-bf07-390ff511420e,diagram/unit-045/tikzcd-07,urn:uuid:861be988-2ce1-5dbb-99be-142eaab53df0,7,336-339,336-339,tikzcd,audited_preserved
diagram,urn:uuid:16003365-a4c7-5daf-a9f6-b4dddf221a20,diagram/unit-045/tikzcd-08,urn:uuid:861be988-2ce1-5dbb-99be-142eaab53df0,8,378-382,378-382,tikzcd,audited_preserved
diagram,urn:uuid:6a83c349-c063-5f6d-b45c-4c510f1180b9,diagram/unit-045/tikzcd-09,urn:uuid:861be988-2ce1-5dbb-99be-142eaab53df0,9,387-390,387-390,tikzcd,audited_preserved
diagram,urn:uuid:5fdecaa8-51bd-57b9-a7bb-2627c9d7d86a,diagram/unit-045/tikzcd-10,urn:uuid:861be988-2ce1-5dbb-99be-142eaab53df0,10,413-413,413-413,tikzcd,audited_preserved
diagram,urn:uuid:c52c041f-9119-5756-99ec-3bbbf22e9012,diagram/unit-045/tikzcd-11,urn:uuid:861be988-2ce1-5dbb-99be-142eaab53df0,11,413-413,413-413,tikzcd,audited_preserved
diagram,urn:uuid:949c83ee-d1e4-506e-9e28-e17017ad94b0,diagram/unit-045/tikzcd-12,urn:uuid:27ff280b-dc46-5896-a266-411ebdf92d06,12,563-567,563-567,tikzcd,audited_preserved
diagram,urn:uuid:c9adb312-23cf-5924-b802-b88e60aa3888,diagram/unit-045/tikzcd-13,urn:uuid:f089c23f-c614-586d-b351-988ed8ab6f39,16,639-642,639-642,tikzcd,audited_preserved
diagram,urn:uuid:97a41f0b-a500-5485-b6b0-a88fc50173cf,diagram/unit-045/tikzcd-14,urn:uuid:f089c23f-c614-586d-b351-988ed8ab6f39,17,648-652,648-652,tikzcd,audited_preserved
diagram,urn:uuid:3872af3e-969b-56bc-b978-6178eececc64,diagram/unit-045/tikzcd-15,urn:uuid:f089c23f-c614-586d-b351-988ed8ab6f39,18,668-671,668-671,tikzcd,audited_preserved
